Transcription,Arabic,Judaeo-Arabic,English,# of Unique Women Mentioned,# of Unique Women on Charity Lists ,Unique Women Total,# of Unique Bint al____,# of Unique Bint al____ on charity list,# of Unique Ibn ___,# of Unique Ibn ___ on Charity Lists,# of Unique Men,Total # of Children/Grandchildren,Children/Grandchildren on Charity Lists,% of attestations receiving charity,Total # of attested individuals,Total number of individuals with profession/child of profession (with unclear included),Rustow sector,Slave or Free
qābila,قابلة,קאבלה,midwife,1,3,4,0,1,4,2,6,7,3,54.55,11,10,Services,Free
muʿallima,معلمة,מעלמה,teacher,8,3,11,0,0,3,1,4,4,1,26.67,15,16,Religious/Education,Free
jāriya/jawārī ,جارية,גאריה,slave,108,3,111,0,0,0,0,0,0,0,2.70,111,109,Services,Slave
ghāsila,غاسلة,גאסלה,washer of the dead,0,2,2,0,0,0,0,0,0,0,100.00,2,2,Services,Free
ṭabība,طبيبة,טביבה,doctor,0,1,1,0,0,2,5,7,7,5,75.00,8,8,Services,Free
nāʾiḥa,نائحة,נאיחה,wailing woman,1,1,2,0,0,1,0,1,1,0,33.33,3,3,Services,Free
waṣīfa,وصيفة,וציפה,slave,10,1,11,0,0,0,0,0,0,0,9.09,11,11,Services,Slave
ẓiʾra,"مرضعة, ظئرة","  מרצעה, צירה, טירה",wet nurse,0,0,0,0,0,1,2,3,3,2,66.67,3,3,Services,Free
munajjima,منجمة,מנגמה,astrologer,0,0,0,0,0,0,1,1,1,1,100.00,1,2,Services,Free
dallāla, دلالة,דלאלה,broker,1,0,1,0,0,4,1,5,5,1,16.67,6,30,Crafts and trade,Free
ghazāl; ghazzāl,غزال,גזאל,spinner            (and gazelle),10,0,10,0,1,16,0,16,17,1,3.70,27,31,Crafts and trade,Free
shifḥa,n/a,שפחה,slave,10,0,10,0,0,0,0,0,0,0,0.00,10,10,Services,Slave
dāya,داية,דאיה,midwife (Goitein: wet-nurse),3,0,3,0,0,1,0,1,1,0,0.00,4,6,Services,Free [in these cases]
khayyāṭa,خياطة,כיאטה,dressmaker,3,0,3,0,0,0,0,0,0,0,0.00,3,3,Crafts and trade,Free
sāqiya,ساقيه,סאקיה,bar maid? beverage maker?,2,0,2,0,0,1,0,1,1,0,0.00,3,6,Crafts and trade,Free
wakīla,وكيلة,וכילה,agent; inn keeper,2,0,2,0,0,0,0,0,0,0,0.00,2,7,Crafts and trade,Free
nasāja,نساجة,נסאגה,weaver,1,0,1,0,0,0,0,0,0,0,0.00,1,3,Crafts and trade,Free
wāṣiṭa,واصطة,ואצטה,middlewoman,1,0,1,0,0,0,0,0,0,0,0.00,1,1,Crafts and trade,Free
amīna,امينة,אמינה,assistant to slave trader,0,0,0,0,0,0,0,0,0,0,0.00,0,0,Crafts and trade,Free
ḥaffāfa,خفافة,חפאפה,hair remover,0,0,0,0,0,0,0,0,0,0,0.00,0,1,Services,Free
khabbāza,خبازة,כבאזה,baker,0,0,0,0,0,1,0,1,1,0,0.00,1,1,Crafts and trade,Free
māshiṭa,ماشطة,מאשטה,“bride-comber” (i.e. hairdresser),0,0,0,1,0,0,0,0,1,0,0.00,1,1,Services,Free
rāqiṣa; raqqāṣa,"رقاصة, راقصة","רקאצה, ראקצה",dancer/woman who does errands,0,0,0,0,0,1,0,1,1,0,0.00,1,1,Services,Free
ṣiyāra,صيارة,ציארה,castanet player,0,0,0,0,0,0,0,0,0,0,0.00,0,1,Services,Free
ʿaqqāda,عقادة,עקאדה,lacemaker,0,0,0,0,0,0,0,0,0,0,0.00,0,1,Crafts and trade,Free
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,267,0,
