Shelfmark,PGPID,Type,Century,Dated,Fustat?,Location,Seller/Lettor/Giver,Seller Gender,Buyer/Leessee/Recipeient,Buyer Gender,Family Sale?,Share of dār sold,Listed Value (in dinars),Projected cost of full dār or shop (in dinars)
AIU VII.D.7,5334,Sale (notes),12,1102,Yes,Fustat/Cairo,"Abu Sahl, Menashshe b. Yehuda",M,"Abu al-Faraj, Amram b. Yosef",M,No,0.5,300,600
Bodl. MS heb. a 3/32,504,Ketubba,11,1064,No,"Palestine, Ramle",Ṣedaqa [b. Ṣalaḥ?],M,Berukha bt. Ṣedaqa,F,Dowry,0.5,25,50
Bodl. MS heb. b 11/35,6349,Sale,12,1157,Yes,"Fustat/Cairo, Surayya",Makārim b. Salāma,M,Abū l-Ḥasan b. Salāma,M,Yes,0.125,5,40
Bodl. MS heb. b 12/31,6391,Ketubba,11,1050,Yes,"Fustat/Cairo, Qaṣr al-Shamʿ",Avraham,M,Karīma bt. Avraham,F,Dowry,0.5,20,40
Bodl. MS heb. d 65/21,6452,Sale,12,1156,Yes,"Fustat/Cairo, Qaṣr al-Shamʿ",Ibn ʿUmayr,M,Ibn Mardūk,M,No,0.25,15,60
Bodl. MS heb. d 65/44,6455,Sale,13,1218,Yes,Fustat/Cairo,Yosef Beḥir ha-Misra,M,Abū l-Faḍl ha-Sofer ha-Mahir b. Yosef ha-Sar ha-Kohen,M,No,0.25,150,600
Bodl. MS heb. d 66/109,2533,Sale (notes),12,1145,Yes,"Fustat/Cairo, al-Mamṣūṣa",Unknown,U,Unknown,U,No,1,123,123
Bodl. MS heb. d 66/136,6481,Sale,13,1246,Unknown,Unknown,Efrayim b. Moshe,M,Yefet b. Shelomo,M,No,0.125,15,120
Bodl. MS heb. d 66/70,582,Sale (notes),13,1236,Unknown,"Unknown (Goitein thinks Alexandria, Ashtor thought Cairo)",Manṣur b. ʿAwād,M,,M,No,0.25,100,400
Bodl. MS heb. d 66/92,6469,Sale,13,1229,Yes,"Fustat/Cairo, Qaṣr al-Rūm",Ibn al-ʿAjamī,M,Sitt al-Henna(?) bt. Abū Manṣur,F,No,0.25,75,300
Bodl. MS heb. d 66/99,2559,Sale,12,1139,Yes,"Fustat/Cairo, al-Musasa",Yefet b. Saʿadiya,M,Saʿadiya b. Yiṣḥaq haḤazan,M,No,0.5,300,600
CUL Add.2586,3951,Sale,13,1233,Yes,"Fustat/Cairo, Tujib?",Abū al-Fakhr b. ʿAmram,M,Abū al-Faraj b. Abū al-Fakhr,M,Yes,0.25,17,68
CUL OR 1080 j117,39230,Sale,11,1088,Yes,"Fustat/Cairo, North of Qaṣr al-Shamʿ and Masmusa",Khulayf b. ʿUbayd b. ʿAlī,M,Hārūn b. Khulayf b. Hārūn,M,"No, but rents to brother",1,60,60
CUL OR 1081 j31,8953,Sale (notes),13,1255,Yes,"Fustat/Cairo, Cairo",Bū Manṣūr and Abū l-Ḥasan the sons of Hillel al-Mūrid,M,Yosef and ʿAfīf the sons of Futūḥ Ibn al-[...],M,No,1,120,120
ENA 2558.4,6624,Sale,12,,Yes,"Fustat/Cairo, al-Mamṣūṣa",Sitt al-Banāt bt. Shelomo (Salāma) al-ʿAṭṭār (n’e),F,David ha-Kohen,M,No,0.167,11,66
ENA 4020.52,2415,Sale,12,1133,Yes,"Fustat/Cairo, Qaṣr al-Shamʿ",Bint Fahad,F,Sitt Ghazal bt. Saba’ b. Yehuda al-Dimashqi,F,No,0.5,117,234
Halper 333 + T-S 16.155,6576,Ketubba,11,,Yes,"Fustat/Cairo, Cairo",Zayn’s parents,P,Zayn bt. Aharon ha-Mumḥe (s’t),F,Dowry,0.25,30,120
Heid. Or. 79,34017,Sale,12,1127,Yes,"Fustat/Cairo, Qaṣr al-Shamʿ",Levi b. Namer,M,Abū l-Ḥasan Shelomo b. Menashshe ha-Kohen,M,No,1,20,20
Moss. VII 82.1,2755,Sale,11,,Likely,Fustat/Cairo(?),,M,"Nahray b. Nissim,",M,Yes,0.333,150,450
T-S 12.518,7249,Sale,,,Unknown,Unknown,Sitt al-ʿIrāq,F,Moshe b. Shemuel,M,No,0.208,115,575
T-S 12.535 + T-S NS 320.76b + T-S NS 323.35 + T-S NS 320.76a,1480,Ketubba,11,1006,No,"Palestine, Ramle",Bride’s parents,P,Sayyida bat Wahb al-ʿArḍī (n’n??),F,Dowry,2,400,200
T-S 12.573,1681,Sale (notes),14,1378,Yes,"Fustat/Cairo, unknown",Shams bt. Sar Shalom b. Avraham b. Yaʿaqov,F,Unknown,U,No,0.5,75,150
T-S 13J25.19,3377,Sale,13,,Yes,"Fustat/Cairo, Qaṣr al-Shamʿ (?)",Unknown woman with living father (3377),F,Shamsiyya bt. Shemuel (n’e),F,No,0.25,15,60
T-S 16.117,4076,Sale,12,,Yes,"Fustat/Cairo, Surayya",Yosef b. ʿUlla b. Yosef,M,Abū l-Makārim Nadiv b. Elʿazar,M,No,0.125,7.5,60
T-S 16.132,3422,Sale,10,998,No,"Greater Egypt, al-Banā (near Fāqūs in the Nile Delta)",Fūrayja bt. Ṣemaḥ,F,Avraham b. Ḥananya [son in law],M,Yes,0.167,3.5,21
T-S 16.355,1738,Sale (notes),13,1261,Yes,"Fustat/Cairo, al-Mamṣūṣa",Sitt al-Hasan bt. Shela,F,Hillel b. Yefet,M,No,0.25,22.5,90
T-S 20.17 + T-S 12.704,20063,Sale,12,,Yes,"Fustat/Cairo, Qaṣr al-Rūm",Fāḍila bt. Ḥalfon,F,Abū l-ʿAlā b. Abū l-Surūr,M,No,0.25,12.5,50
T-S 24.44,3565,Sale (notes),12,1102,Yes,"Fustat/Cairo, Qaṣr al-Shamʿ",Abū Saʿīd Ḥalfon b. Mevorakh (n’e),M,Turfa bt. Ṭayyib al-ʿIblānī (n’e),F,Unclear,0.5,51,102
T-S 24.5,7554,Ketubba,12,1111,Yes,Fustat/Cairo,Bride’s parents,P,Unknown bride (7554),F,Dowry,0.5,14,28
T-S 28.3,7585,Sale,11,1004,Yes,Fustat/Cairo,Khalaf b. Yosef,M,Yeḥezqel b. Masʿūd al-ʿAqrabānī,M,No,0.333,70,210
T-S 8.162,7104,Sale,12,,Unknown,Unknown,Unknown,U,Wife of a brother of Rabbenu Ḥayyim,F,No,0.5,250,500
T-S 8J35.5,3808,Sale,12,1153,Yes,"Fustat/Cairo, unknown",Yosef b. Michael,M,Avraham b. Khalaf,M,No,1,6,6
T-S 8J6.14,2165,Sale,13,1241,No,"Egypt, Alexandria",Sitt al-Ikhwa bt. Futūḥ (s’t),F,"Efraim b. Futuh (s’t), her brother",M,Yes,0.125,9,72
T-S Ar. 19.23,8169,Sale,,,Unknown,Unknown,"Jumān b. ʿAbdallāh b. Ṣāliḥ al-Anṭākī,",M,Abū l-Faḍl al-Muḥassin b. Saʿīd b. ʿUthmān,M,No,0.097,50,514
T-S Ar. 53.61,8315,Sale,,,Yes,"Fustat/Cairo, Rāya","Bishr, Ghālia, and Nada daughters of Manṣūr",F,Yusuf b. Ya’qūb,M,Other,0.25,70,280
T-S Ar. 53.70,8317,Sale,12,1118,Unknown,Unknown,Ḥassan b. Shabbat,M,ʿAlī b. ___,M,No,0.25,12,48
T-S H 10.173,18566,Sale,11,1056,Yes,"Fustat/Cairo, Qaṣr al-Shamʿ",Dāwūd b. Ṣemaḥ,M,Abū l-Faraj Ṣemaḥ b. Ṣedaqa b. Ṣemaḥ,M,Yes,0.125,10,80
T-S K 25.284,8597,Sale (notes),12,,Yes,"Fustat/Cairo, “al-Rayya in Qaṣr al-Shamʿ known as Qaṣr al-Rūm”",Unknown,U,Unknown,U,No,0.264,200,720
T-S Misc. 29.23 + T-S Ar. 38.31,8393,Sale,12,1104,Yes,"Fustat/Cairo, North of Fustat",Dāʾūd b. Azhar b. Ibrahim b. Azhar,M,Ibrahim b. Mūsā b. Ṣaliḥ,M,No,0.042,15,360
T-S Misc.28.234,8384,Sale,12,1141,No,"Greater Egypt, Minyat Zifta",Farajiyya bt. Ṣedaqa (n’e),F,Ṣedaqa b. Yūsuf,M,No,1,9,9
Yevr. III B 1064,2450,Sale,12,1174,Yes,"Fustat/Cairo, Qaṣr al-Shamʿ",Sitt al-Kafāʾa bt. Abu l-Faraj,F,Abū Isḥāq b. Abū l-Fakhr,M,No,0.25,6,24
Yevr.-Arab. I 1700.9r,31831,Sale (notes),12,1156,Yes,"Fustat/Cairo, Qaṣr al-Shamʿ",Abū l-ʿAlā,M,Sitt al-Ahl,F,Unclear,0.5,160,320
