Testator: Shelfmark (PGPID),M/F,Type,Scribe,Century,Date,Location,Sons,Sons’ sons,Son’s daughters,Daughters,Daughter’s sons,Daughter’s daughters,Father,Mother,Brothers,Brothers’ sons,Brothers’ daughters,Sisters,Sisters’ sons,Sisters’ daughters,Sister’s daughter’s children,6. The Father’s Father (N/A),The father’s brothers and their descendants,The father’s sisters and their descendants,Spouse,Maternal Relative/Descendent,Other Men,Other Women,Enslaved beneficiary,Debts/shared holdings,Burial Expenses,The Poor,Synagogues/Heqdesh
“Abū Karīma” [real name missing]: T-S 8J36.10 (PGPID 3812),M,Will (draft without formula),,Unknown,,Unknown,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,Yes,No,No,No
[Unknown father]: T-S 12.466 (PGPID 7231),M,Will?,Ḥalfon b. Menashshe,12th c,,Fustat,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,No (but fragmentary),Yes,Yes,Likely
[Unknown woman]: T-S 16.115 (PGPID 1704),F,Will: Deathbed,,11th c (1006),1006,Fustat,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,No,Yes,No,Yes
[Husband of Sutayt bt. Nadiv]: T-S NS J357 (PGPID 4326),M,Will: Deathbed,,13th c (?),,Probably Fustat,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Yes,No,No,No
[Unknown man]: Bodl. MS heb. b 13/46 (PGPID 6399) and a copy of it T-S 20.99 (PGPID 3558),M,Will: Deathbed [probably? Formula missing],Hillel b. ‘Eli,11th-12th c,,Fustat,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,6,1,1,Yes,No,No,Yes
[Unknown man]: T-S Ar.48.42 (PGPID 3905),M,Will: Deathbed,,12th c,,Cairo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2 female cousins,0,2 (maternal aunt and his great aunt),0,0,0,No (but fragmentary),No,No,Yes
[Unknown man]: Bodl. MS heb. b 11/31 (PGPID 19295),M,Will: old age (not sick),Ḥalfon b. Menashshe,12th c,,Fustat,Unclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No (but fragmentary),No,No,No
[Unknown woman]: T-S 12.636 (PGPID 7302),F,Will: Deathbed [probably? Formula missing],Ḥalfon b. Menashshe,12th c,,Fustat,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1 male cousin,0,0,0,1,0,0,Yes,Yes,No,No
[Unknown man]: T-S NS 320.23 (PGPID 4254),M,Will: Deathbed,,Unknown,,Unknown,0,0,0,0,0,0,0,0,0,0,0,1,“Children”,1,0,0,0,0,1,0,2,0,0,Yes,Yes,No,Yes
"[Old man, name missing]: CUL Or.1080 J62 (PGPID 4013)",M,Will: old age (not sick),Ḥalfon b. Menashshe,12th c,,Fustat,Unclear,0,0,Unclear,0,0,N/a,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No (but fragmentary),No,No,Likely
Abū al-Barakāt b. Abū al-Riḍā Yosef al-Lebdi (Sitt al-Khāṣṣa’s nephew): ENA 2558.14 (PGPID 5344),M,Will: Deathbed,,13th c (1227),1227,Fustat,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,Unclear,No,No,No
Abū al-Faḍl al-Qazzāz (the weaver) b. Abū al-Barakāt al-Maqdasī: Bodl. MS heb. a 2/9 (PGPID 499),M,Will: Deathbed,,12th c (1188),1188,Fustat,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,Yes,No,No,No
Abū al-Fakhr al-Jabbān (the cheese seller) b. Saʿadya: T-S 8J6.14 (PGPID 2164),M,Gift,,13th c (1241),1241,Fustat,1,0,0,1,0,1,N/a,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,No (but fragmentary),No,No,No
Abū al-Faraj b. Maʿrūf the perfumer: T-S 12.88 (PGPID 7147),M,Will: Deathbed [probably? Formula missing],,12th c (1130),1130,Fustat,Unclear,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,No (but fragmentary),No,No,No
